#timestamp x y z qx qy qz qw id
1732058942.914890 0.067494 -1.767011 -0.301517 -0.700834 -0.105931 0.117747 0.695519 92
1732058943.948223 0.129419 -1.804537 -0.288992 -0.708795 0.067476 -0.054565 0.700057 93
1732058944.981556 0.213918 -1.832733 -0.276463 -0.680408 0.218422 -0.205573 0.668638 94
1732058946.014890 0.199409 -1.778288 -0.273247 -0.696227 0.169201 -0.149137 0.681467 95
1732058947.014890 0.159430 -1.772689 -0.301899 -0.708253 -0.007894 0.026580 0.705414 96
1732058948.048223 0.068576 -1.772859 -0.289938 -0.681317 -0.196840 0.203579 0.674995 97
1732058949.048223 -0.000278 -1.809317 -0.288717 -0.608795 -0.369515 0.366198 0.598938 98
1732058950.081556 -0.028537 -1.873755 -0.289260 0.492524 0.513889 -0.510732 -0.482173 99
1732058951.081556 -0.006027 -1.952658 -0.300616 0.346924 0.620240 -0.617589 -0.336941 100
1732058952.081556 -0.090841 -2.102779 -0.306753 -0.261794 -0.656653 0.658610 0.257882 101
1732058953.081556 -0.523526 -2.482011 -0.310454 0.298272 0.654169 -0.633699 -0.285521 102
1732058954.081556 -0.711851 -2.488198 -0.325675 0.428947 0.568875 -0.563321 -0.418396 103
1732058955.081556 -1.003639 -2.501880 -0.319197 0.485634 0.525387 -0.514685 -0.472468 104
1732058956.114878 -1.057610 -2.435453 -0.314154 -0.602249 -0.383884 0.377291 0.589559 105
1732058957.148223 -1.010582 -2.396690 -0.317073 -0.678490 -0.215868 0.213573 0.668908 106
1732058958.181545 -0.940599 -2.380470 -0.328011 -0.707195 -0.054692 0.053017 0.702904 107
1732058959.181545 -0.860578 -2.409684 -0.349545 -0.697044 0.122628 -0.122072 0.695838 108
1732058960.181545 -0.788941 -2.466943 -0.355827 -0.652434 0.269649 -0.268045 0.655570 109
1732058961.214878 -0.770570 -2.487414 -0.351952 -0.669452 0.225778 -0.219837 0.672704 110
1732058963.248212 -0.791503 -2.466295 -0.351096 -0.699895 0.098988 -0.095192 0.700918 112
1732058964.248212 -0.720635 -2.177903 -0.328438 -0.708623 0.080232 -0.080053 0.696425 113
1732058965.248223 -0.602185 -2.085554 -0.314777 -0.668624 0.230547 -0.228346 0.669065 114
1732058966.248223 -0.600457 -2.052220 -0.314533 -0.678446 0.197595 -0.190023 0.681585 115
1732058967.248223 -0.639422 -2.009938 -0.304564 -0.703955 0.028051 -0.021537 0.709364 116
1732058968.281556 -0.645809 -1.671983 -0.273747 -0.706858 -0.012011 0.014403 0.707107 117
1732058969.281556 -0.687070 -1.387362 -0.237697 -0.713604 -0.077868 0.082778 0.691269 118
1732058970.281556 -0.650484 -1.311651 -0.227214 -0.714239 0.000230 0.003945 0.699891 119
1732058971.281556 -0.579031 -0.912672 -0.232205 -0.716340 0.090254 -0.080461 0.687195 120
1732058972.281556 -0.443830 -0.952989 -0.208065 -0.678271 0.250208 -0.238859 0.648299 121
1732058973.281556 -0.432431 -0.973694 -0.215121 -0.616832 0.370733 -0.362813 0.591981 122
1732058975.314878 -0.481373 -0.893391 -0.287705 -0.671472 0.230649 -0.223749 0.667730 124
1732058976.314878 -0.637459 -0.788657 -0.267767 -0.704644 0.083770 -0.075588 0.700532 125
1732058977.348212 -0.614577 -0.378537 -0.275502 -0.702596 0.052067 -0.051859 0.707785 126
1732058978.381545 -0.466151 0.140822 -0.272413 -0.701433 0.130613 -0.125896 0.689262 127
1732058979.381556 -0.482278 0.192499 -0.245727 -0.706508 0.097439 -0.082968 0.696037 128
1732058980.414890 -0.571956 0.239193 -0.262692 -0.702453 -0.104516 0.120717 0.693588 129
1732058981.448223 -0.682862 0.380122 -0.252555 -0.678893 -0.187779 0.200071 0.681040 130
1732058982.514878 -0.982802 0.908612 -0.197849 -0.700210 -0.159932 0.154056 0.678524 131
1732058983.514878 -0.931314 1.070080 -0.198181 -0.716773 -0.003163 -0.007043 0.697264 132
1732058984.514878 -0.850869 1.019777 -0.216252 -0.689906 0.176715 -0.185770 0.676972 133
1732058985.514878 -0.805963 0.967309 -0.209340 -0.624795 0.337369 -0.347229 0.612573 134
1732058986.781556 -0.790836 0.896441 -0.206735 0.485454 -0.509234 0.523024 -0.481104 135
